Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6292002395996368,0.6167293235827283,0.6167293235827283,0.7282504271040378,1.2111032009124756
BernoulliNB,0.7732498599115027,0.606991095521709,0.606991095521709,0.8293923687994026,1.4996864795684814
DecisionTreeClassifier,0.9026143411976117,0.5854424565769762,0.5854424565769764,0.90644288261346,60.178385496139526
ExtraTreeClassifier,0.9047011767433772,0.5709146468350215,0.5709146468350214,0.9064242474193561,1.6054983139038086
KNeighborsClassifier,0.943925955983228,0.5581750031371395,0.5581750031371395,0.9274243005748052,175.94377326965332
ExtraTreesClassifier,0.9413947017564199,0.5542550493205513,0.5542550493205514,0.9253754540720901,50.86121845245361
BaggingClassifier,0.9426893126968485,0.5394686379125444,0.5394686379125443,0.9237354212417865,391.8895661830902
RandomForestClassifier,0.9443703746642707,0.535201913996298,0.535201913996298,0.923875738138069,170.39646172523499
XGBClassifier,0.9450466639615095,0.5320145022752931,0.5320145022752932,0.9236388951705302,65.3371467590332
LGBMClassifier,0.9447761482426139,0.5134977132225105,0.5134977132225105,0.9197861124939537,2.6294925212860107
Perceptron,0.9076961722025776,0.5133519685554301,0.5133519685554301,0.9021666723558469,2.341761350631714
LinearDiscriminantAnalysis,0.9419164106428612,0.5085978543116596,0.5085978543116596,0.9175073421157524,6.1996543407440186
PassiveAggressiveClassifier,0.9331246497787568,0.507646330186909,0.507646330186909,0.9134879406502466,1.8598074913024902
SVC,0.9439646010859274,0.5040421471226217,0.5040421471226217,0.9173402515891323,14075.06872844696
GaussianNB,0.06637296388615153,0.5028859051611471,0.502885905161147,0.026413689117636436,1.4970135688781738
LogisticRegression,0.9434235696481363,0.5013379138612936,0.5013379138612936,0.9165046988450082,7.529600381851196
QuadraticDiscriminantAnalysis,0.05796765404904063,0.5005274416808633,0.5005274416808633,0.009299207997543697,4.008746862411499
AdaBoostClassifier,0.9436554402643325,0.5004937502479737,0.5004937502479738,0.9163951883760538,103.95037531852722
SGDClassifier,0.9436747628156822,0.5003428179636613,0.5003428179636613,0.9163668859037856,4.356981992721558
RidgeClassifier,0.9436554402643325,0.5001714089818307,0.5001714089818307,0.9163191711804187,1.7184226512908936
RidgeClassifierCV,0.9436554402643325,0.5001714089818307,0.5001714089818307,0.9163191711804187,4.4420788288116455
CalibratedClassifierCV,0.943500859853535,0.5000895021917577,0.5000895021917577,0.9162418341631386,665.5842065811157
LinearSVC,0.9434235696481363,0.5000485487967213,0.5000485487967213,0.9162031612634475,174.970130443573
DummyClassifier,0.9436361177129828,0.5,0.5,0.9162714301689296,1.0387144088745117
