aid,aidtype,aidname,aiddesc,aidcomment,aidsrcid,aidsrcname,aidextid,depdate,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,cnt,activecnt,anatomyid,anatomy,annotation
 371,Screening,Human A549 Lung Tumor Cell Growth Inhibition Assay,"Compounds that inhibit tumor cell growth may have cytotoxic or cytostatic effects and vary widely in structure and mechanism of action.  Cancer chemotherapeutic drugs inhibit tumor cell growth by disrupting cell division or other mechanisms, which often results in apoptotic cell death.  The ability of a compound to inhibit the growth of the human non-small cell lung tumor line, A549, is a preliminary indication of anticancer activity for treating patients with lung cancer.  _||_In order to screen a structurally diverse library of compounds for tumor cell growth inhibitory activity, we implemented a high throughput screening assay to measure viable cell number.  Numerous classes of compounds may cause cytotoxicity by perturbing a variety of intracellular signaling pathways, interfering with mitosis, or disrupting various aspects of cell function, which will result in the reduction of viable cell number, which can be measured by a variety of endpoints such as metabolic activity and ATP levels._||_Cultured human A549 lung tumor cells were treated with test compounds from a 3317 compound library for 72 hours at a final concentration of 10 uM.  Following treatment, ATP was measured using a commercially available assay (Cell Titer Glo, Promega).  The assay involves a recombinant luciferase enzyme that converts luciferin to oxyluciferin in the presence of Mg ions, oxygen, and ATP, and is accompanied by the emission of light, or chemiluminsence.  Each plate contained 32 replicates of untreated cells which served as a negative control and 32 replicates of cells treated with doxorubicin at 5 uM, which served as the positive control.  Average growth inhibition values were calculated based on two separate experiments.  Compounds showing an average percent growth inhibition value of 50% or greater were scored as active, while compounds which cause less than 50% growth inhibition were scored as inactive.","Possible artifacts in this assay include, but are not limited to, compounds that interfere with the luciferase reaction, absorb luminescence, or precipitate._||_The percent growth inhibition for the positive control, doxirubicin, for the two experiments was 92.8%.",11,SRMLSC,A549 cytotoxicity,20060307,20060307,1329|1676|1688|1780|1820|1832|1892|1893|1967|1981|1986|2082|2123|2153|2170|2196|2247|2249|2284|2315|2333|2343|2378|2391|2406|2435|2466|2471|2480|2554|2576|2708|2720|2727|2754|2762|2771|2788|2794|2955|3012|3019|3025|3059|3108|3126|3151|3168|3169|3182|3194|3213|3229|3278|3295|3308|3331|3332|3333|3334|3339|3371|3374|3394|3446|3463|3478|3488|3512|3542|3559|3616|3639|3647|3672|3676|3702|3715|3728|3747|3767|3793|3828|3878|3883|3899|3957|3969|4021|4030|4038|4044|4100|4107|4173|4201|4342|4421|4472|4485|4488|4495|4497|4507|4534|4539|4594|4615|4622|4649|4748|4764|4775|4781|4828|4831|4847|4891|4909|4911|4917|4977|4993|5070|5074|5092|5094|5213|5215|5265|5315|5319|5320|5323|5324|5327|5328|5329|5330|5332|5336|5342|5344|5383|5401|5405|5429|5430|5443|5479|5503|5505|5510|5546|5560|5735|5744|5745|5748|5753|5754|5763|5790|5803|5804|5824|5834|5853|5870|5887|5909|5911|5952|5994|6014|6081|6084|6088|6100|6114|6128|6166|6215|6240|6249|6271|6279|6314|6436|6674|6731|6741|7172|7419|7550|8228|8246|8307|8593|8739|8974|8980|9066|9279|9324|9363|9373|9568|9642|9878|9912|10168|10365|10607|10631|10648|11065|11079|11224|11368|11548|11683|11972|12035|12492|13266|13770|13791|15032|15209|16230|16362|16490|16574|16623|17275|17683|18283|19004|19529|20279|20469|20926|21718|22162|23659|23702|24944|25096|25590|26248|26964|28061|28693|30928|31116|31307|32798|35370|36708|38727|39042|39147|41022|41860|44093|51039|53000|53232|54308|60961|62547|62770|62857|62884|62920|62935|62969|62978|64961|64963|64964|65327|65335|65495|65551|66007|66061|66062|66068|66069|66070|66259|66368|66377|66419|66440|66644|68304|68539|68546|68551|68553|68589|70652|70982|71188|71386|71399|71412|71414|71478|71612|71651|73453|73957|75629|76297|77918|78251|81423|86860|88012|88731|91430|91451|91505|92173|92303|92730|92827|92913|94330|98825|101430|101521|101615|102544|104845|104871|105078|107342|107838|107952|108003|115936|117176|119265|119304|119442|121216|123664|135348|137610|148737|154494|157921|158798|163751|165542|169870|185248|200556|202725|207841|219770|222757|222786|223451|236702|239233|244418|248856|250709|256117|275196|289051|295450|298107|303580|305880|306194|332456|333140|346489|369507|379927|384431|387726|408317|426874|439487|439744|440707|441307|441325|441344|441358|443936|443939|443953|443955|443958|443980|444034|444795|445154|449094|457964|460129|478951|483833|521951|535852|539592|540880|541175|544962|550729|559644|561453|562542|564006|565205|566195|567572|567995|572006|572920|573250|579876|589480|589850|591423|594394|595723|596487|597127|598179|599428|600284|600719|600881|601254|602372|603068|603692|604092|604590|605217|605295|606012|606801|610479|611144|611765|612016|612806|612869|614397|616408|617281|619096|619350|621531|621538|622237|622734|623871|624590|625492|627978|629191|630595|633186|637760|647912|656601|657201|657218|657220|657227|657237|657255|657262|657264|657272|657287|657297|657298|657301|657302|657306|657308|657312|657319|657346|657348|657349|657356|657368|657375|657378|657381|657395|657400|657423|657426|657427|657429|657430|657431|657432|657433|657438|657439|657440|657441|657443|657445|657452|657454|657455|657456|657458|657463|657464|657466|657469|657470|657471|657472|657475|657476|657477|657481|657484|657485|657490|657493|657497|657499|657504|657527|657529|657531|657534|657535|657536|657540|657542|657549|657552|657554|657555|657558|657559|657565|657567|657571|657572|657573|657576|657579|657584|657585|657586|657587|657589|657590|657591|657597|657598|657599|657603|657605|657608|657609|657610|657612|657613|657614|657617|657642|657645|657648|657650|657651|657654|657655|657656|657657|657661|657664|657665|657666|657668|657670|657671|657673|657676|657677|657678|657681|657683|657684|657685|657689|657691|657693|657698|657702|657704|657705|657712|657713|657720|657723|657734|657741|657744|657745|657749|657750|657753|657754|657757|657761|657762|657766|657767|657770|657771|657772|657773|657776|657778|657780|657781|657782|657785|657787|657788|657789|657790|657792|657793|657794|657796|657799|657803|657804|657806|657807|657811|657815|657820|657821|657823|657827|657843|657845|657849|657850|657854|657856|657860|657861|657862|657864|657866|657867|657868|657869|657874|657876|657877|657878|657880|657881|657884|657885|657887|657888|657890|657891|657892|657893|657894|657898|657899|657900|657902|657904|657906|657916|657917|657919|657922|657925|657926|657928|657931|657941|657945|657946|657947|657949|657953|657954|657955|657956|657961|657963|657966|657969|657970|657971|657972|657973|657974|657978|657979|657981|657983|657984|657985|657986|657987|657993|657996|657997|658000|658002|658004|658008|658010|658011|658012|658014|658017|658018|658024|658025|658027|658028|658033|658034|658035|658037|658040|658041|658042|658043|658069|658070|658071|658072|658074|658075|658076|658077|658078|658079|658081|658082|658085|658086|658088|658089|658091|658094|658095|658096|658097|658098|658099|658101|658102|658104|658107|658108|658109|658111|658113|658114|658115|658119|658123|658126|658128|658129|658132|658134|658135|658136|658137|658139|658141|658145|658146|658148|658151|658152|658153|658157|658158|658159|658160|658161|658163|658164|658166|658167|658170|658172|658189|658192|658193|658194|658195|658196|658197|658198|658199|658201|658202|658203|658204|658206|658208|658209|658213|658214|658219|658220|658221|658222|658225|658226|658227|658230|658231|658233|658237|658238|658239|658241|658242|658243|658244|658245|658246|658252|658255|658256|658258|658260|658261|658262|658265|658267|658269|658271|658274|658276|658277|658278|658279|658280|658282|658286|658311|658313|658314|658316|658317|658318|658321|658325|658326|658327|658329|658331|658335|658336|658339|658340|658341|658346|658348|658352|658355|658357|658358|658359|658360|658365|658368|658369|658371|658377|658378|658380|658381|658382|658388|658390|658393|658395|658396|658400|658401|658403|658405|658406|658426|658430|658435|658440|658450|658451|658453|658457|658462|658465|658467|658469|658471|658472|658473|658474|658476|658477|658478|658482|658483|658485|658486|658490|658498|658500|658502|658504|658505|658507|658527|658528|658533|658534|658540|658542|658544|658545|658547|658548|658549|658553|658555|658556|658557|658560|658561|658566|658568|658574|658576|658579|658582|658586|658591|658595|658598|658602|658604|658606|658607|658609|658611|658613|658618|658620|658642|658651|658652|658654|658655|658656|658661|658662|658664|658667|658668|658669|658670|658671|658672|658674|658680|658683|658684|658687|658689|658691|658692|658694|658695|658696|658697|658700|658702|658711|658714|658717|658718|658724|658729|658731|658732|658733|658734|658738|658741|658742|658743|658744|658774|658778|658780|658781|658782|658785|658786|658787|658789|658791|658792|658799|658802|658803|658804|658805|658807|658812|658817|658818|658819|658820|658821|658822|658826|658829|658830|658834|658838|658839|658842|658843|658845|658850|658851|658853|658857|658860|658862|658863|658865|658867|658869|658872|658873|658875|658876|658877|658879|658880|658891|658897|658898|658902|658908|658911|658913|658914|658915|658916|658918|658919|658920|658923|658926|658927|658930|658931|658932|658936|658937|658938|658941|658946|658947|658950|658951|658952|658953|658956|658957|658958|658959|658960|658961|658962|658963|658964|658967|658968|658970|658972|658974|658975|658976|658978|658980|658981|658982|658987|658988|658990|658991|658993|658994|658997|659001|659036|659041|659042|659044|659046|659047|659053|659060|659062|659064|659065|659068|659069|659070|659075|659076|659077|659083|659086|659091|659092|659095|659098|659100|659107|659111|659112|659115|659122|659127|659130|659134|659135|659138|659158|659160|659162|659166|659169|659170|659174|659179|659183|659186|659187|659188|659194|659195|659198|659200|659202|659203|659204|659205|659208|659211|659213|659215|659216|659217|659220|659221|659222|659223|659224|659227|659228|659229|659230|659231|659234|659236|659237|659240|659242|659270|659271|659273|659274|659275|659277|659280|659283|659286|659287|659290|659291|659295|659296|659298|659299|659302|659304|659306|659308|659310|659314|659315|659321|659323|659324|659325|659329|659330|659332|659334|659338|659339|659340|659341|659343|659345|659346|659347|659352|659353|659357|659388|659393|659395|659396|659397|659400|659402|659403|659404|659407|659413|659414|659419|659420|659426|659427|659432|659434|659439|659442|659445|659446|659449|659450|659452|659453|659454|659460|659461|659463|659465|659472|659476|659479|659480|659485|659486|659492|659493|659495|659496|659497|659499|659502|659504|659508|659510|659513|659519|659522|659523|659528|659529|659533|659534|659535|659537|659538|659540|659543|659544|659556|659558|659562|659564|659565|659575|659582|659584|659585|659586|659587|659588|659590|659594|659596|659605|659606|659607|659612|659613|659614|659616|659618|659619|659622|659623|659624|659627|659630|659633|659638|659639|659643|659647|659648|659649|659650|659651|659652|659653|659655|659658|659659|659660|659661|659666|659668|659669|659670|659672|659675|659677|659678|659679|659681|659683|659685|659687|659691|659693|659694|659695|659696|659703|659704|659708|659709|659717|659723|659724|659727|659729|659730|659731|659732|659735|659736|659741|659743|659748|659749|659752|659754|659762|659765|659767|659770|659771|659779|659782|659785|659786|659787|659789|659790|659791|659793|659794|659799|659800|659801|659802|659804|659809|659812|659813|659818|659820|659822|659823|659824|659825|659845|659846|659847|659854|659855|659856|659857|659858|659859|659861|659863|659866|659867|659868|659871|659873|659876|659879|659881|659885|659887|659888|659890|659892|659893|659894|659895|659898|659899|659901|659904|659906|659907|659909|659912|659914|659915|659916|659918|659919|659920|659923|659924|659926|659932|659933|659935|659940|659941|659942|659943|659944|659946|659952|659969|659973|659977|659982|659983|659987|659998|659999|660001|660003|660004|660007|660008|660009|660014|660017|660018|660021|660022|660025|660026|660028|660029|660030|660034|660038|660040|660047|660051|660,855511|855513|855514|855515|855516|855517|855518|855519|855520|855521|855522|855523|855524|855525|855526|855527|855528|855529|855530|855531|855532|855533|855534|855535|855536|855537|855538|855539|855540|855541|855542|855543|855544|855545|855546|855547|855548|855549|855550|855551|855552|855553|855554|855555|855556|855557|855558|855559|855560|855561|855562|855563|855564|855565|855566|855567|855568|855569|855570|855571|855572|855573|855574|855575|855576|855578|855579|855580|855581|855582|855583|855584|855586|855587|855588|855589|855590|855591|855592|855594|855595|855596|855597|855598|855599|855600|855601|855602|855603|855604|855605|855606|855607|855608|855609|855610|855611|855612|855613|855614|855615|855616|855617|855618|855619|855620|855621|855622|855623|855624|855625|855626|855627|855628|855629|855630|855631|855632|855633|855634|855635|855636|855637|855638|855639|855640|855641|855642|855643|855644|855645|855646|855647|855648|855649|855650|855651|855652|855653|855654|855655|855656|855657|855658|855659|855660|855661|855662|855663|855664|855665|855666|855667|855668|855669|855670|855671|855672|855673|855674|855675|855676|855677|855678|855679|855680|855681|855682|855683|855684|855685|855686|855687|855688|855689|855690|855691|855692|855693|855694|855695|855696|855697|855698|855699|855700|855701|855702|855703|855704|855705|855706|855707|855708|855709|855710|855711|855712|855713|855714|855715|855716|855717|855718|855719|855720|855721|855722|855723|855724|855725|855726|855727|855728|855729|855730|855731|855732|855733|855734|855735|855736|855737|855738|855739|855740|855741|855742|855743|855744|855745|855746|855747|855748|855749|855750|855751|855752|855753|855754|855755|855756|855757|855758|855759|855761|855762|855763|855764|855765|855766|855767|855768|855769|855770|855771|855772|855773|855774|855775|855776|855777|855778|855779|855780|855781|855782|855783|855784|855785|855786|855787|855788|855789|855790|855791|855792|855793|855794|855795|855796|855797|855798|855799|855800|855801|855802|855803|855804|855805|855806|855807|855808|855809|855810|855811|855812|855813|855814|855815|855816|855818|855819|855820|855821|855822|855823|855824|855825|855826|855827|855828|855829|855830|855831|855832|855833|855834|855835|855836|855837|855838|855839|855840|855841|855842|855843|855844|855845|855846|855847|855848|855849|855850|855851|855852|855853|855854|855855|855856|855857|855858|855859|855860|855861|855862|855863|855864|855865|855866|855867|855868|855869|855870|855871|855872|855873|855874|855875|855876|855877|855878|855879|855880|855881|855882|855883|855884|855885|855886|855887|855888|855889|855890|855891|855892|855894|855895|855896|855897|855898|855899|855900|855901|855902|855903|855904|855905|855906|855908|855909|855910|855911|855912|855913|855914|855915|855916|855917|855918|855919|855920|855921|855922|855923|855924|855925|855926|855927|855928|855930|855931|855932|855933|855934|855935|855936|855937|855938|855940|855941|855942|855943|855944|855945|855946|855947|855948|855949|855950|855951|855952|855953|855954|855955|855956|855957|855958|855959|855960|855961|855962|855963|855964|855965|855966|855967|855968|855969|855970|855971|855972|855973|855974|855975|855976|855977|855978|855979|855980|855981|855982|855983|855984|855985|855986|855987|855988|855989|855990|855991|855992|855993|855994|855995|855996|855997|855998|855999|856000|856001|856002|856003|856004|856005|856006|856007|856008|856009|856010|856011|856012|856013|856014|856015|856016|856017|856018|856019|856020|856021|856022|856023|856024|856025|856026|856031|856033|856034|856036|856038|856039|856040|856042|856043|856045|856046|856048|856053|856054|856055|856057|856059|856060|856062|856070|856073|856074|856075|856077|856079|856082|856083|856084|856085|856088|856090|856091|856092|856095|856097|856098|856102|856103|856104|856108|856111|856118|856119|856121|856125|856127|856133|856136|856139|856140|856146|856147|856150|856152|856155|856156|856157|856161|856163|856172|856174|856176|856177|856181|856182|856189|856191|856196|856197|856198|856201|856204|856205|856206|856211|856212|856213|856214|856215|856218|856219|856220|856223|856227|856228|856229|856230|856232|856234|856237|856238|856239|856241|856242|856243|856244|856247|856251|856253|856256|856257|856258|856264|856267|856269|856272|856273|856275|856276|856277|856278|856279|856280|856281|856286|856289|856290|856291|856294|856295|856297|856298|856299|856301|856304|856305|856306|856309|856310|856312|856313|856314|856318|856321|856324|856325|856330|856334|856336|856337|856343|856344|856345|856348|856353|856357|856358|856360|856361|856363|856364|856365|856372|856375|856377|856378|856382|856383|856384|856387|856388|856391|856395|856396|856397|856399|856403|856405|856408|856409|856410|856411|856414|856415|856416|856418|856419|856420|856424|856426|856427|856428|856429|856431|856432|856433|856434|856436|856439|856443|856444|856446|856447|856452|856454|856455|856456|856459|856462|856464|856466|856470|856476|856479|856480|856481|856483|856487|856488|856489|856493|856494|856496|856500|856501|856503|856504|856505|856506|856507|856508|856509|856510|856517|856519|856520|856521|856523|856524|856526|856527|856528|856531|856532|856533|856534|856536|856537|856538|856539|856541|856544|856545|856546|856548|856551|856553|856563|856564|856566|856569|856572|856574|856576|856579|856582|856583|856585|856586|856587|856588|856589|856590|856592|856593|856595|856596|856597|856598|856599|856604|856606|856609|856613|856614|856615|856616|856617|856618|856622|856623|856625|856626|856628|856629|856630|856631|856632|856634|856640|856643|856644|856648|856650|856652|856656|856658|856659|856660|856662|856665|856666|856667|856673|856674|856676|856677|856683|856684|856685|856687|856690|856691|856692|856693|856695|856701|856705|856706|856709|856710|856711|856712|856714|856715|856716|856717|856718|856719|856721|856722|856725|856727|856729|856730|856732|856735|856736|856737|856738|856739|856740|856742|856743|856744|856745|856748|856749|856750|856751|856753|856755|856756|856757|856761|856765|856768|856771|856772|856776|856778|856779|856780|856781|856783|856785|856790|856791|856793|856796|856797|856798|856802|856803|856804|856805|856806|856809|856810|856811|856812|856813|856816|856818|856822|856824|856828|856831|856832|856834|856835|856836|856837|856838|856839|856841|856842|856843|856844|856846|856848|856849|856850|856852|856853|856854|856859|856860|856861|856862|856866|856867|856868|856869|856872|856873|856875|856876|856879|856880|856881|856883|856884|856885|856886|856887|856888|856893|856894|856897|856901|856902|856904|856907|856908|856909|856910|856912|856914|856916|856918|856921|856923|856924|856925|856926|856927|856929|856933|856941|856942|856943|856944|856951|856953|856954|856956|856957|856958|856961|856965|856966|856967|856969|856970|856971|856973|856975|856976|856979|856980|856981|856986|856988|856992|856995|856997|856998|856999|857000|857004|857006|857009|857010|857012|857017|857018|857019|857020|857021|857022|857023|857026|857029|857031|857034|857036|857038|857042|857043|857045|857048|857049|857059|857060|857062|857063|857066|857070|857075|857080|857090|857091|857093|857099|857104|857107|857111|857113|857115|857116|857117|857118|857120|857121|857122|857128|857129|857132|857134|857136|857138|857140|857148|857150|857152|857155|857156|857158|857164|857171|857172|857174|857176|857179|857180|857186|857188|857190|857191|857192|857194|857195|857196|857198|857201|857203|857204|857205|857207|857210|857212|857217|857219|857226|857228|857229|857231|857236|857240|857245|857246|857250|857251|857254|857258|857259|857260|857262|857263|857264|857266|857268|857269|857271|857276|857278|857289|857291|857294|857300|857301|857302|857304|857305|857307|857309|857312|857313|857315|857318|857319|857320|857321|857322|857323|857324|857326|857331|857334|857335|857338|857339|857340|857342|857345|857347|857348|857349|857350|857352|857353|857355|857365|857368|857371|857372|857378|857380|857384|857386|857387|857388|857389|857393|857396|857397|857398|857399|857415|857416|857418|857422|857423|857427|857429|857430|857431|857434|857435|857436|857438|857439|857440|857441|857445|857447|857448|857450|857451|857452|857453|857454|857456|857461|857466|857467|857468|857469|857470|857471|857475|857477|857478|857479|857483|857484|857486|857487|857489|857490|857491|857493|857494|857496|857501|857502|857504|857508|857511|857513|857514|857516|857518|857520|857523|857524|857525|857527|857528|857529|857531|857532|857535|857536|857539|857540|857543|857544|857548|857552|857554|857555|857558|857560|857562|857563|857564|857566|857567|857568|857571|857574|857575|857576|857578|857579|857580|857585|857586|857587|857591|857596|857597|857601|857602|857603|857604|857605|857608|857609|857610|857611|857612|857613|857614|857615|857616|857619|857620|857622|857624|857626|857627|857628|857630|857632|857633|857634|857639|857640|857642|857643|857644|857646|857647|857650|857651|857655|857664|857668|857675|857678|857680|857681|857683|857686|857687|857688|857689|857691|857694|857695|857701|857703|857705|857706|857709|857710|857711|857716|857717|857718|857722|857725|857727|857728|857729|857734|857735|857737|857738|857741|857744|857751|857753|857755|857756|857759|857763|857766|857767|857768|857772|857776|857781|857782|857783|857785|857788|857791|857792|857794|857796|857798|857800|857802|857806|857808|857811|857812|857817|857819|857822|857826|857830|857834|857835|857837|857842|857843|857845|857848|857850|857851|857853|857854|857855|857856|857860|857864|857867|857868|857870|857871|857872|857875|857876|857877|857878|857879|857881|857883|857884|857885|857886|857887|857890|857892|857893|857896|857898|857904|857905|857906|857910|857916|857917|857918|857919|857920|857922|857925|857928|857931|857934|857935|857936|857939|857940|857944|857945|857946|857947|857948|857949|857952|857954|857956|857957|857959|857961|857964|857966|857967|857971|857973|857975|857976|857977|857981|857982|857985|857987|857991|857992|857993|857994|857996|857998|857999|858000|8580,"","","",Legacy Depositors|NIH Initiatives,"",0,"","","","","",3317,278,"","",""
399,Screening,Luminescent Cytotoxicity/cell viability assay (Jurkat E6-1 cells),"Assay Overview:_||_This assay was developed to determine the cytotoxic effects of small molecule compounds on Jurkat E6-1 cells in a 384 well format.  It is slightly modified from the procedure in AID:364.  In this protocol, ATP-lite 1 step (Perkin Elmer) is used to determine cell viability via a luminescent readout of cellular ATP levels.","Potential artifacts of this assay are compounds that interfere with luciferase activity, compounds that quench at the wavelength used by the plate reader to measure luminescence, as well as compounds that precipitate.",14,Burnham Center for Chemical Genomics,SDCCG-A001,20060428,20110119,443939,7964547|7964548|7964549|7964550|7964551,"",Toxicity,"",NIH Initiatives,"",0,"","","","","",5,5,"","",""
